"","x","nMx","nqx","npx","lx","ndx","nLx","Tx","ex","c(rep(0, 9), mx.breast[, ""2002"", 1])"
"1",0,0,0,1,1,0,1,76.9007709770134,76.9007709770134,0
"2",1,0,0,1,1,0,4,75.9007709770134,75.9007709770134,0
"3",5,0,0,1,1,0,5,71.9007709770134,71.9007709770134,0
"4",10,0,0,1,1,0,5,66.9007709770134,66.9007709770134,0
"5",15,0,0,1,1,0,5,61.9007709770134,61.9007709770134,0
"6",20,0,0,1,1,0,5,56.9007709770134,56.9007709770134,0
"7",25,0,0,1,1,0,5,51.9007709770134,51.9007709770134,0
"8",30,0,0,1,1,0,5,46.9007709770134,46.9007709770134,0
"9",35,0,0,1,1,0,5,41.9007709770134,41.9007709770134,0
"10",40,0.003728908362077,0.0184718075237948,0.981528192476205,1,0.0184718075237948,4.95367698269368,36.9007709770134,36.9007709770134,0.0033560175258693
"11",45,0.00577657223226844,0.0284697382719851,0.971530261728015,0.981528192476205,0.0279438507463721,4.83744504920675,31.9470939943197,32.5483203021641,0.00519891500904159
"12",50,0.00820176337912651,0.0401793327281577,0.959820667271842,0.953584341729833,0.0383143825507242,4.67148109249704,27.1096489451129,28.4292094141722,0.00738158704121386
"13",55,0.00986487714333926,0.0481276941679435,0.951872305832057,0.915269959179109,0.0440498326764783,4.46531994635337,22.4381678526159,24.5153548716275,0.00887838942900534
"14",60,0.0142875366755964,0.068945704054272,0.931054295945728,0.871220126502631,0.0600668850079758,4.20414563908502,17.9728479062625,20.6295141256798,0.0128587830080367
"15",65,0.0210697696691088,0.0999894993576891,0.900010500642311,0.811153241494655,0.0811068065194172,3.84943963760225,13.7687022671775,16.9742307160197,0.018962792702198
"16",70,0.0364220674879486,0.166490631947842,0.833509368052158,0.730046434975238,0.121545892310296,3.33714971975475,9.91926262957526,13.5871667257874,0.0327798607391537
"17",75,0.0498154160921585,0.220480114683035,0.779519885316965,0.608500542664941,0.134162269431455,2.6931877710959,6.58211290982051,10.8169384385329,0.0448338744829427
"18",80,0.0879203355983542,0.35570699393791,0.64429300606209,0.474338273233486,0.168725441281583,1.91907185218639,3.88892513872461,8.19863240681475,0.0791283020385188
"19",85,0.145472178445872,0.516817520450489,0.483182479549511,0.305612831951904,0.157946066027235,1.08574758221555,1.96985328653822,6.44558434918148,0.130924960601285
"20",90,0.187654320987654,0.608696421612638,0.391303578387362,0.147666765924669,0.089884232009457,0.478988341629343,0.884105704322669,5.98716778813785,0.168888888888889
"21",95,0.193236714975845,0.619467455660468,0.380532544339532,0.0577825339152119,0.035794399266071,0.185236016201918,0.405117362693326,7.01106952643824,0.173913043478261
"22",100,0,1,0,0.0219881346491409,0.0219881346491409,0.219881346491409,0.219881346491409,10,NA
